time	V(n002)	I(Re)	I(Rs)
1.336281249999995e-01	1.209660e-02	-3.024152e-08	-1.806033e-14
1.342977678571423e-01	1.093852e-02	-2.734633e-08	-1.621791e-14
1.349674107142851e-01	9.870839e-03	-2.467711e-08	-1.453176e-14
1.356370535714279e-01	8.893540e-03	-2.223386e-08	-1.300186e-14
1.363066964285708e-01	8.006628e-03	-2.001658e-08	-1.162823e-14
1.369763392857136e-01	7.210104e-03	-1.802527e-08	-1.041086e-14
1.376459821428564e-01	6.503968e-03	-1.625993e-08	-9.349758e-15
1.383156249999992e-01	5.888219e-03	-1.472056e-08	-8.444916e-15
1.390689732142849e-01	5.261035e-03	-1.315260e-08	-7.520456e-15
1.398223214285706e-01	4.687260e-03	-1.171816e-08	-6.677505e-15
1.405756696428562e-01	4.166893e-03	-1.041724e-08	-5.916063e-15
1.413290178571419e-01	3.699934e-03	-9.249839e-09	-5.236128e-15
1.420823660714276e-01	3.286384e-03	-8.215963e-09	-4.637703e-15
1.428357142857133e-01	2.926242e-03	-7.315608e-09	-4.120786e-15
1.435890624999989e-01	2.619508e-03	-6.548774e-09	-3.685377e-15
1.445098214285703e-01	2.286283e-03	-5.715710e-09	-3.211463e-15
1.454305803571417e-01	1.985746e-03	-4.964368e-09	-2.784641e-15
1.463513392857131e-01	1.717897e-03	-4.294746e-09	-2.404910e-15
1.472720982142844e-01	1.482737e-03	-3.706846e-09	-2.072271e-15
1.481928571428558e-01	1.280266e-03	-3.200666e-09	-1.786723e-15
1.491136160714272e-01	1.110482e-03	-2.776207e-09	-1.548266e-15
1.500343749999986e-01	9.733874e-04	-2.433470e-09	-1.356901e-15
1.513178571428556e-01	8.097712e-04	-2.024429e-09	-1.128055e-15
1.526013392857127e-01	6.660037e-04	-1.665010e-09	-9.270688e-16
1.538848214285698e-01	5.420849e-04	-1.355213e-09	-7.539421e-16
1.551683035714268e-01	4.380149e-04	-1.095038e-09	-6.086749e-16
1.564517857142839e-01	3.537936e-04	-8.844845e-10	-4.912672e-16
1.577352678571410e-01	2.894210e-04	-7.235529e-10	-4.017189e-16
1.590187499999980e-01	2.448971e-04	-6.122432e-10	-3.400302e-16
1.600000000000000e-01	2.105876e-04	-5.264692e-10	-2.923416e-16
1.600225000000097e-01	3.207505e-04	1.326062e-08	1.406250e-08
1.600525000000226e-01	4.977405e-04	3.156815e-08	3.281250e-08
1.600945014016654e-01	8.124423e-04	5.703227e-08	5.906337e-08
1.601785042049511e-01	1.604890e-03	1.075529e-07	1.115651e-07
1.602319943934287e-01	2.227711e-03	1.394272e-07	1.449965e-07
1.602930196230448e-01	3.107732e-03	1.753679e-07	1.831373e-07
1.604000000000000e-01	4.864103e-03	2.378397e-07	2.500000e-07
1.607821984526516e-01	1.023967e-02	2.244008e-07	2.500000e-07
1.611643969053032e-01	1.534923e-02	2.116269e-07	2.500000e-07
1.615465953579548e-01	2.019276e-02	1.995181e-07	2.500000e-07
1.619287938106063e-01	2.477028e-02	1.880743e-07	2.500000e-07
1.623109922632579e-01	2.908178e-02	1.772955e-07	2.500000e-07
1.626931907159095e-01	3.312726e-02	1.671818e-07	2.500000e-07
1.630753891685611e-01	3.690673e-02	1.577331e-07	2.499999e-07
1.632646192873381e-01	3.870902e-02	1.532274e-07	2.499999e-07
1.634538494061150e-01	4.046418e-02	1.488395e-07	2.499999e-07
1.636430795248920e-01	4.217222e-02	1.445694e-07	2.499999e-07
1.638323096436690e-01	4.383312e-02	1.404171e-07	2.499999e-07
1.640215397624460e-01	4.544690e-02	1.363826e-07	2.499999e-07
